"Consumption by fuel, Million tonnes oil equivalent.",Oil-2,Natural Gas-2,Coal-2,Nuclear Energy-2,Hydro electric-2,Total 2007,Oil,Natural Gas,Coal,Nuclear Energy,Hydro electric,Total 2008
US,942.3,595.4,573.2,192.1,56.6,2359.6,884.5,600.7,565.0,192.0,56.7,2299
Canada,102.8,87.0,32.3,21.0,82.9,326.1,102,90.0,33.0,21.1,83.6,329.8
Mexico,89.4,56.8,9.1,2.4,6.1,163.7,90,60.5,9.0,2.3,8.6,170.4
Total North America,1134.5,739.3,614.6,215.4,145.6,2849.4,1076.6,751.2,606.9,215.4,148.9,2799.1
Argentina,23.2,39.5,0.4,1.6,8.5,73.2,24.2,40.0,0.4,1.6,8.4,74.7
Brazil,99.8,19.8,13.4,2.8,84.6,220.4,105.3,22.7,14.6,3.1,82.3,228.1
Chile,16.1,4.1,3.3,-,5.2,28.8,16.8,2.3,3.2,-,5.4,27.8
Colombia,10.7,6.7,2.7,-,9.5,29.5,10.7,7.3,2.3,-,9.8,30.2
Ecuador,8.9,0.5,-,-,2.0,11.4,9.3,0.5,-,-,2.6,12.3
Peru,7.1,2.4,0.5,-,4.4,14.4,7.9,3.1,0.5,-,4.5,15.9
Venezuela,30,29.0,0.1,-,18.8,77.8,32.5,29.1,^,-,19.6,81.4
Other S. & Cent. America,64.2,22.1,2.2,-,19.5,108,63.6,23.6,2.2,-,19.9,109.3
Total S. & Cent. America,260,124.1,22.5,4.4,152.6,563.5,270.3,128.7,23.3,4.8,152.5,579.6
Austria,13.4,8.0,3.1,-,7.5,31.9,13.4,8.5,3.1,-,7.9,33
Azerbaijan,4.5,7.2,^,-,0.5,12.2,3.3,8.4,^,-,0.5,12.3
Belarus,7.6,16.9,0.1,-,^,24.6,7.7,17.3,^,-,^,25.1
Belgium & Luxembourg,41,15.2,5.5,10.9,0.1,72.7,41.3,15.3,4.6,10.4,0.1,71.7
Bulgaria,5.3,2.9,7.8,3.3,0.7,20,5.4,2.9,7.5,3.6,0.8,20.1
Czech Republic,9.7,7.6,20.0,5.9,0.6,43.8,9.9,7.8,19.1,6.0,0.5,43.3
Denmark,9.3,4.1,4.7,-,^,18.1,8.9,4.1,4.1,-,^,17.2
Finland,10.6,3.5,4.6,5.6,3.2,27.5,10.5,3.6,3.4,5.4,3.9,26.8
France,91.3,38.3,12.3,99.7,13.3,254.8,92.2,39.8,11.9,99.6,14.3,257.9
Germany,112.5,74.6,85.7,31.8,4.7,309.3,118.3,73.8,80.9,33.7,4.4,311.1
Greece,21.7,3.6,8.5,-,0.8,34.6,21.4,3.8,8.6,-,0.8,34.6
Hungary,7.7,10.8,2.9,3.3,^,24.8,7.7,10.8,2.8,3.4,^,24.7
Iceland,1,-,0.1,-,1.9,3,0.9,-,0.1,-,2.8,3.9
Republic of Ireland,9.4,4.3,1.5,-,0.2,15.4,9,4.5,1.4,-,0.2,15.1
Italy,84,70.0,17.2,-,7.3,178.5,80.9,69.9,17.0,-,8.8,176.6
Kazakhstan,11.6,17.6,30.8,-,1.8,61.8,10.9,18.5,33.6,-,1.7,64.7
Lithuania,2.8,3.3,0.2,2.2,0.2,8.7,3.1,2.9,0.2,2.2,0.2,8.7
Netherlands,46,33.3,9.0,1.0,^,89.3,46.5,34.7,9.2,0.9,^,91.4
Norway,10.2,3.8,0.4,-,30.6,45.1,9.8,4.0,0.5,-,31.8,46
Poland,24.2,12.3,57.9,-,0.7,95.1,24.9,12.5,59.4,-,0.6,97.4
Portugal,14.4,3.8,3.3,-,2.3,23.9,13.7,4.1,3.2,-,1.6,22.6
Romania,10.3,14.5,7.4,1.7,3.6,37.5,10.6,13.1,7.7,2.5,3.9,37.8
Russian Federation,126.2,383.1,93.5,36.5,40.4,679.7,130.4,378.2,101.3,36.9,37.8,684.6
Slovakia,4.1,5.1,3.8,3.5,1.0,17.6,4.3,5.2,3.9,3.8,1.0,18.1
Spain,78.8,31.6,20.2,12.5,6.0,149.2,77.1,35.1,14.6,13.3,3.8,143.9
Sweden,14.7,0.9,2.2,15.2,15.0,48,14.5,0.9,2.0,14.5,14.8,46.7
Switzerland,11.3,2.6,0.1,6.3,7.9,28.2,12.1,2.8,0.1,6.2,8.1,29.4
Turkey,30.5,31.6,31.0,-,8.0,101.1,32.3,32.4,30.4,-,7.5,102.6
Turkmenistan,5.4,19.1,-,-,-,24.5,5.5,17.1,-,-,-,22.6
Ukraine,15.3,56.4,39.7,20.9,2.3,134.7,15.5,53.8,39.3,20.3,2.6,131.5
United Kingdom,79.2,81.8,38.2,14.3,1.2,214.7,78.7,84.5,35.4,11.9,1.1,211.6
Uzbekistan,5.4,41.3,1.4,-,1.4,49.5,5.5,43.8,1.4,-,1.4,52.2
Other Europe & Eurasia,27.9,15.1,15.7,1.9,16.3,77,29.2,15.4,16.1,2.0,17.0,79.7
Total Europe & Eurasia,947.6,1024.5,528.9,276.4,179.6,2956.9,955.5,1029.6,522.7,276.7,180.2,2964.6
Iran,81.3,101.7,1.3,-,4.1,188.4,83.3,105.8,1.3,-,1.7,192.1
Kuwait,13.6,10.9,-,-,-,24.5,15.3,11.5,-,-,-,26.8
Qatar,4,17.7,-,-,-,21.7,4.6,17.9,-,-,-,22.5
Saudi Arabia,96.1,67.0,-,-,-,163.1,104.2,70.3,-,-,-,174.5
United Arab Emirates,20.7,44.4,-,-,-,65,22.9,52.3,-,-,-,75.2
Other Middle East,74.4,31.3,8.1,-,1.2,114.9,76.6,36.6,8.1,-,1.2,122.5
Total Middle East,290.1,273.0,9.3,-,5.2,577.6,306.9,294.4,9.4,-,2.8,613.5
Algeria,12.9,21.9,0.7,-,0.1,35.6,14,22.8,0.7,-,0.1,37.6
Egypt,30.6,34.5,1.0,-,3.5,69.6,32.6,36.8,1.0,-,3.9,74.3
South Africa,25.8,-,97.7,3.0,0.6,127.1,26.3,-,102.8,3.0,0.2,132.3
Other Africa,60.7,23.9,6.2,-,18.0,108.7,62.3,25.8,5.7,-,18.1,111.8
Total Africa,129.9,80.3,105.7,3.0,22.1,341,135.2,85.4,110.3,3.0,22.2,356
Australia,41.7,22.4,55.8,-,3.3,123.2,42.5,21.2,51.3,-,3.4,118.3
Bangladesh,4.5,14.6,0.4,-,0.3,19.8,4.6,15.6,0.4,-,0.3,20.9
China,362.8,62.6,1313.6,14.1,109.8,1862.8,375.7,72.6,1406.3,15.5,132.4,2002.5
China Hong Kong SAR,16,2.0,7.5,-,-,25.5,14.5,2.3,7.0,-,-,23.8
India,128.5,36.0,212.9,4.0,27.7,409.2,135,37.2,231.4,3.5,26.2,433.3
Indonesia,56.4,30.6,28.4,-,2.6,117.9,57.4,34.2,30.2,-,2.7,124.4
Japan,229.3,81.2,125.3,63.1,16.8,515.8,221.8,84.4,128.7,57.0,15.7,507.5
Malaysia,22,25.7,7.1,-,1.5,56.4,21.8,27.6,5.0,-,1.5,56
New Zealand,7.2,3.7,1.6,-,5.3,17.8,7.3,3.4,2.1,-,5.0,17.9
Pakistan,19.2,32.8,5.1,0.6,7.1,64.8,19.3,33.8,6.7,0.4,6.3,66.5
Philippines,14,3.1,5.9,-,1.9,24.9,13.4,3.1,6.2,-,2.2,25
Singapore,47.4,7.7,-,-,-,55.1,49.9,8.3,-,-,-,58.2
South Korea,108.3,34.7,59.7,32.3,0.7,235.7,103.3,35.7,66.1,34.2,0.9,240.1
Taiwan,52.5,10.6,41.8,9.2,1.0,115.1,50.1,11.5,40.2,9.2,0.9,112
Thailand,38.2,31.8,14.1,-,1.8,86,36.7,33.7,15.4,-,1.6,87.3
Other Asia Pacific,29.4,11.7,34.2,-,10.8,86.1,30,12.2,34.6,-,11.6,88.4
Total Asia Pacific,1177.4,411.2,1913.5,123.3,190.7,3816,1183.4,436.8,2031.2,119.8,210.8,3981.9
Total World,3939.4,2652.2,3194.5,622.5,695.8,11104.4,3927.9,2726.1,3303.7,619.7,717.5,11294.9
